,word,aspect,head_word,head_word_tag_new,lematized_words,ner,next_words,ortho_features,pos_tag,post_word_tag,pre_word_tag,prev_words,stopword,token_freq,word_len
0,I,0,1,PRP,I,0,charge,1,PRP,VBP,,,0,1,0
1,charge,0,0,,charge,0,it,0,VBP,PRP,PRP,I,0,1,1
2,it,0,1,PRP,it,0,at,0,PRP,IN,VBP,charge,1,1,0
3,at,0,0,,at,0,night,0,IN,NN,PRP,it,1,1,0
4,night,0,1,NN,night,0,and,0,NN,CC,IN,at,0,1,1
5,and,0,0,,and,0,skip,0,CC,NN,NN,night,1,1,0
6,skip,0,0,,skip,0,taking,0,NN,VBG,CC,and,0,1,1
7,taking,0,0,,take,0,the,0,VBG,DT,NN,skip,0,1,1
8,the,0,0,,the,0,cord,0,DT,NN,VBG,taking,1,2,0
9,cord,1,1,NN,cord,0,with,0,NN,IN,DT,the,0,1,1
10,with,0,0,,with,0,me,0,IN,PRP,NN,cord,1,1,1
11,me,0,1,PRP,me,0,because,0,PRP,IN,IN,with,1,1,0
12,because,0,0,,because,0,of,0,IN,IN,PRP,me,1,1,1
13,of,0,0,,of,0,the,0,IN,DT,IN,because,1,1,0
14,the,0,0,,the,0,good,0,DT,JJ,IN,of,1,2,0
15,good,0,0,,good,0,battery,0,JJ,NN,DT,the,0,1,1
16,battery,1,1,NN,battery,0,life,0,NN,NN,JJ,good,0,1,1
17,life,0,1,NN,life,0,,0,NN,,NN,battery,0,1,1
0,I,0,1,PRP,I,0,bought,1,PRP,VBD,,,0,1,0
1,bought,0,0,,buy,0,a,0,VBD,DT,PRP,I,0,1,1
2,a,0,0,,a,0,HP,0,DT,NNP,VBD,bought,1,1,0
3,HP,0,0,,HP,0,Pavilion,0,NNP,NNP,DT,a,0,1,0
4,Pavilion,0,0,,Pavilion,0,DV4,1,NNP,NNP,NNP,HP,0,1,1
5,DV4,0,0,,DV4,0,1222nr,0,NNP,CD,NNP,Pavilion,0,1,0
6,1222nr,0,0,,1222nr,0,laptop,0,CD,NN,NNP,DV4,0,1,1
7,laptop,0,1,NN,laptop,0,and,0,NN,CC,CD,1222nr,0,1,1
8,and,0,0,,and,0,have,0,CC,VBP,NN,laptop,1,1,0
9,have,0,0,,have,0,had,0,VBP,VBN,CC,and,1,1,1
10,had,0,0,,have,0,so,0,VBN,RB,VBP,have,1,1,0
11,so,0,0,,so,0,many,0,RB,JJ,VBN,had,1,1,0
12,many,0,0,,many,0,problems,0,JJ,NNS,RB,so,0,1,1
13,problems,0,1,NNS,problems,0,with,0,NNS,IN,JJ,many,0,1,1
14,with,0,0,,with,0,the,0,IN,DT,NNS,problems,1,1,1
15,the,0,0,,the,0,computer,0,DT,NN,IN,with,1,1,0
16,computer,0,1,NN,computer,0,,0,NN,,DT,the,0,1,1
0,The,0,0,,The,0,tech,1,DT,NN,,,0,1,0
1,tech,1,0,,tech,0,guy,0,NN,NN,DT,The,0,1,1
2,guy,0,1,NN,guy,0,then,0,NN,RB,NN,tech,0,1,0
3,then,0,0,,then,0,said,0,RB,VBD,NN,guy,1,1,1
4,said,0,0,,say,0,the,0,VBD,DT,RB,then,0,1,1
5,the,0,0,,the,0,service,0,DT,NN,VBD,said,1,3,0
6,service,1,0,,service,0,center,0,NN,NN,DT,the,0,1,1
7,center,0,1,NN,center,0,does,0,NN,VBZ,NN,service,0,1,1
8,does,0,0,,do,0,not,0,VBZ,RB,NN,center,1,1,1
9,not,0,0,,not,0,do,0,RB,VB,VBZ,does,1,1,0
10,do,0,0,,do,0,1,0,VB,CD,RB,not,1,1,0
