,aspect,head_word,head_word_tag,head_word_tag_new,lematized_words,ner,next_words,ortho_features,pos_tag,post_word_tag,pre_word_tag,prev_words,stopword,token_freq,word,word_len
0,0.0,1.0,,PRP,I,0.0,charge,1,PRP,VBP,,,0.0,1,I,0.0
1,0.0,0.0,,,charge,0.0,it,0,VBP,PRP,PRP,I,0.0,1,charge,1.0
2,0.0,1.0,,PRP,it,0.0,at,0,PRP,IN,VBP,charge,1.0,1,it,0.0
3,0.0,0.0,,,at,0.0,night,0,IN,NN,PRP,it,1.0,1,at,0.0
4,0.0,1.0,,NN,night,0.0,and,0,NN,CC,IN,at,0.0,1,night,1.0
5,0.0,0.0,,,and,0.0,skip,0,CC,NN,NN,night,1.0,1,and,0.0
6,0.0,0.0,,,skip,0.0,taking,0,NN,VBG,CC,and,0.0,1,skip,1.0
7,0.0,0.0,,,take,0.0,the,0,VBG,DT,NN,skip,0.0,1,taking,1.0
8,0.0,1.0,,DT,the,0.0,cord,0,DT,NN,VBG,taking,1.0,2,the,0.0
9,0.0,1.0,,NN,cord,0.0,with,0,NN,IN,DT,the,0.0,1,cord,1.0
10,0.0,0.0,,,with,0.0,me,0,IN,PRP,NN,cord,1.0,1,with,1.0
11,0.0,1.0,,PRP,me,0.0,because,0,PRP,IN,IN,with,1.0,1,me,0.0
12,0.0,0.0,,,because,0.0,of,0,IN,IN,PRP,me,1.0,1,because,1.0
13,0.0,0.0,,,of,0.0,the,0,IN,DT,IN,because,1.0,1,of,0.0
14,0.0,1.0,,DT,the,0.0,good,0,DT,JJ,IN,of,1.0,2,the,0.0
15,0.0,0.0,,,good,0.0,battery,0,JJ,NN,DT,the,0.0,1,good,1.0
16,0.0,1.0,,NN,battery,0.0,life,0,NN,NN,JJ,good,0.0,1,battery,1.0
17,0.0,1.0,,NN,life,0.0,,0,NN,,NN,battery,0.0,1,life,1.0
0,0.0,1.0,,PRP,I,0.0,bought,1,PRP,VBD,,,0.0,1,I,0.0
1,0.0,0.0,,,buy,0.0,a,0,VBD,DT,PRP,I,0.0,1,bought,1.0
2,0.0,0.0,,,a,0.0,HP,0,DT,NNP,VBD,bought,1.0,1,a,0.0
3,0.0,0.0,,,HP,0.0,Pavilion,0,NNP,NNP,DT,a,0.0,1,HP,0.0
4,0.0,0.0,,,Pavilion,0.0,DV4,1,NNP,NNP,NNP,HP,0.0,1,Pavilion,1.0
5,0.0,0.0,,,DV4,0.0,1222nr,0,NNP,CD,NNP,Pavilion,0.0,1,DV4,0.0
6,0.0,0.0,,,1222nr,0.0,laptop,0,CD,NN,NNP,DV4,0.0,1,1222nr,1.0
7,0.0,1.0,,NN,laptop,0.0,and,0,NN,CC,CD,1222nr,0.0,1,laptop,1.0
8,0.0,0.0,,,and,0.0,have,0,CC,VBP,NN,laptop,1.0,1,and,0.0
9,0.0,0.0,,,have,0.0,had,0,VBP,VBN,CC,and,1.0,1,have,1.0
10,0.0,0.0,,,have,0.0,so,0,VBN,RB,VBP,have,1.0,1,had,0.0
11,0.0,0.0,,,so,0.0,many,0,RB,JJ,VBN,had,1.0,1,so,0.0
12,0.0,0.0,,,many,0.0,problems,0,JJ,NNS,RB,so,0.0,1,many,1.0
13,0.0,1.0,,NNS,problems,0.0,with,0,NNS,IN,JJ,many,0.0,1,problems,1.0
14,0.0,0.0,,,with,0.0,the,0,IN,DT,NNS,problems,1.0,1,with,1.0
15,0.0,1.0,,DT,the,0.0,computer,0,DT,NN,IN,with,1.0,1,the,0.0
16,0.0,1.0,,NN,computer,0.0,,0,NN,,DT,the,0.0,1,computer,1.0
0,0.0,0.0,,,The,0.0,tech,1,DT,NN,,,0.0,1,The,0.0
1,0.0,0.0,,,tech,0.0,guy,0,NN,NN,DT,The,0.0,1,tech,1.0
2,0.0,1.0,,NN,guy,0.0,then,0,NN,RB,NN,tech,0.0,1,guy,0.0
3,0.0,0.0,,,then,0.0,said,0,RB,VBD,NN,guy,1.0,1,then,1.0
4,0.0,0.0,,,say,0.0,the,0,VBD,DT,RB,then,0.0,1,said,1.0
5,0.0,1.0,,DT,the,0.0,service,0,DT,NN,VBD,said,1.0,3,the,0.0
6,0.0,1.0,,NN,service,0.0,center,0,NN,NN,DT,the,0.0,1,service,1.0
7,0.0,1.0,,NN,center,0.0,does,0,NN,VBZ,NN,service,0.0,1,center,1.0
8,0.0,0.0,,,do,0.0,not,0,VBZ,RB,NN,center,1.0,1,does,1.0
9,0.0,0.0,,,not,0.0,do,0,RB,VB,VBZ,does,1.0,1,not,0.0
10,0.0,0.0,,,do,0.0,1,0,VB,CD,RB,not,1.0,1,do,0.0
11,0.0,0.0,,,1,0.0,to,1,CD,TO,VB,do,0.0,2,1,0.0
12,0.0,0.0,,,to,0.0,1,0,TO,CD,CD,1,1.0,3,to,0.0
13,0.0,0.0,,,1,0.0,exchange,1,CD,NN,TO,to,0.0,2,1,0.0
14,0.0,1.0,,NN,exchange,0.0,and,0,NN,CC,CD,1,0.0,1,exchange,1.0
15,0.0,0.0,,,and,0.0,I,0,CC,PRP,NN,exchange,1.0,1,and,0.0
16,0.0,1.0,,PRP,I,0.0,have,1,PRP,VBP,CC,and,0.0,2,I,0.0
17,0.0,0.0,,,have,0.0,to,0,VBP,TO,PRP,I,1.0,1,have,1.0
18,0.0,0.0,,,to,0.0,direct,0,TO,VB,VBP,have,1.0,3,to,0.0
19,0.0,0.0,,,direct,0.0,my,0,VB,PRP$,TO,to,0.0,1,direct,1.0
20,0.0,0.0,,,my,0.0,concern,0,PRP$,NN,VB,direct,1.0,2,my,0.0
21,0.0,1.0,,NN,concern,0.0,to,0,NN,TO,PRP$,my,0.0,1,concern,1.0
22,0.0,0.0,,,to,0.0,the,0,TO,DT,NN,concern,1.0,3,to,0.0
23,0.0,1.0,,DT,the,0.0,sales,0,DT,NNS,TO,to,1.0,3,the,0.0
24,0.0,1.0,,NNS,sale,0.0,team,0,NNS,NN,DT,the,0.0,1,sales,1.0
25,0.0,1.0,,NN,team,0.0,which,0,NN,WDT,NNS,sales,0.0,1,team,1.0
26,0.0,0.0,,,which,0.0,is,0,WDT,VBZ,NN,team,1.0,2,which,1.0
27,0.0,0.0,,,be,0.0,the,0,VBZ,DT,WDT,which,1.0,1,is,0.0
28,0.0,1.0,,DT,the,0.0,retail,0,DT,JJ,VBZ,is,1.0,3,the,0.0
29,0.0,0.0,,,retail,0.0,shop,0,JJ,NN,DT,the,0.0,1,retail,1.0
30,0.0,1.0,,NN,shop,0.0,which,0,NN,WDT,JJ,retail,0.0,1,shop,1.0
31,0.0,0.0,,,which,0.0,I,0,WDT,PRP,NN,shop,1.0,2,which,1.0
32,0.0,1.0,,PRP,I,0.0,bought,1,PRP,VBD,WDT,which,0.0,2,I,0.0
33,0.0,0.0,,,buy,0.0,my,0,VBD,PRP$,PRP,I,0.0,1,bought,1.0
34,0.0,0.0,,,my,0.0,netbook,0,PRP$,NN,VBD,bought,1.0,2,my,0.0
35,0.0,1.0,,NN,netbook,0.0,from,0,NN,IN,PRP$,my,0.0,1,netbook,1.0
36,0.0,0.0,,,from,0.0,,0,IN,,NN,netbook,1.0,1,from,1.0
0,0.0,1.0,,PRP,I,0.0,investigated,1,PRP,VBD,,,0.0,1,I,0.0
1,0.0,0.0,,,investigate,0.0,netbooks,0,VBD,NNS,PRP,I,0.0,1,investigated,1.0
2,0.0,1.0,,NNS,netbooks,0.0,and,0,NNS,CC,VBD,investigated,0.0,1,netbooks,1.0
3,0.0,0.0,,,and,0.0,saw,0,CC,VBD,NNS,netbooks,1.0,1,and,0.0
4,0.0,0.0,,,saw,0.0,the,0,VBD,DT,CC,and,0.0,1,saw,0.0
5,0.0,1.0,,DT,the,0.0,Toshiba,0,DT,NNP,VBD,saw,1.0,1,the,0.0
6,0.0,1.0,,NNP,Toshiba,1.0,NB305,1,NNP,NNP,DT,the,0.0,1,Toshiba,1.0
7,0.0,0.0,,,NB305,0.0,N410BL,0,NNP,NNP,NNP,Toshiba,0.0,1,NB305,1.0
8,0.0,0.0,,,N410BL,0.0,,0,NNP,,NNP,NB305,0.0,1,N410BL,1.0
0,0.0,0.0,,,The,0.0,other,1,DT,JJ,,,0.0,1,The,0.0
1,0.0,0.0,,,other,0.0,day,0,JJ,NN,DT,The,1.0,1,other,1.0
2,0.0,1.0,,NN,day,0.0,I,0,NN,PRP,JJ,other,0.0,1,day,0.0
3,0.0,1.0,,PRP,I,0.0,had,1,PRP,VBD,NN,day,0.0,1,I,0.0
4,0.0,0.0,,,have,0.0,a,0,VBD,DT,PRP,I,1.0,1,had,0.0
5,0.0,0.0,,,a,0.0,presentation,0,DT,NN,VBD,had,1.0,5,a,0.0
6,0.0,1.0,,NN,presentation,0.0,to,0,NN,TO,DT,a,0.0,1,presentation,1.0
7,0.0,0.0,,,to,0.0,do,0,TO,VB,NN,presentation,1.0,4,to,0.0
8,0.0,0.0,,,do,0.0,for,0,VB,IN,TO,to,1.0,1,do,0.0
9,0.0,0.0,,,for,0.0,a,0,IN,DT,VB,do,1.0,1,for,0.0
10,0.0,0.0,,,a,0.0,seminar,0,DT,NN,IN,for,1.0,5,a,0.0
11,0.0,1.0,,NN,seminar,0.0,at,0,NN,IN,DT,a,0.0,1,seminar,1.0
12,0.0,0.0,,,at,0.0,a,0,IN,DT,NN,seminar,1.0,1,at,0.0
13,0.0,0.0,,,a,0.0,large,0,DT,JJ,IN,at,1.0,5,a,0.0
14,0.0,0.0,,,large,0.0,conference,0,JJ,NN,DT,a,0.0,1,large,1.0
15,0.0,1.0,,NN,conference,0.0,in,0,NN,IN,JJ,large,0.0,1,conference,1.0
16,0.0,0.0,,,in,0.0,town,0,IN,NN,NN,conference,1.0,1,in,0.0
17,0.0,1.0,,NN,town,0.0,lots,0,NN,NNS,IN,in,0.0,1,town,1.0
18,0.0,1.0,,NNS,lot,0.0,of,0,NNS,IN,NN,town,0.0,1,lots,1.0
19,0.0,0.0,,,of,0.0,people,0,IN,NNS,NNS,lots,1.0,1,of,0.0
20,0.0,1.0,,NNS,people,0.0,little,0,NNS,JJ,IN,of,0.0,1,people,1.0
21,0.0,1.0,,JJ,little,0.0,time,0,JJ,NN,NNS,people,0.0,1,little,1.0
22,0.0,1.0,,NN,time,0.0,to,0,NN,TO,JJ,little,0.0,1,time,1.0
23,0.0,0.0,,,to,0.0,prep,0,TO,VB,NN,time,1.0,4,to,0.0
24,0.0,1.0,,VB,prep,0.0,and,0,VB,CC,TO,to,0.0,1,prep,1.0
25,0.0,0.0,,,and,0.0,have,0,CC,VB,VB,prep,1.0,1,and,0.0
26,0.0,0.0,,,have,0.0,to,0,VB,TO,CC,and,1.0,1,have,1.0
27,0.0,0.0,,,to,0.0,set,0,TO,VB,VB,have,1.0,4,to,0.0
28,0.0,0.0,,,set,0.0,up,0,VB,RP,TO,to,0.0,1,set,0.0
29,0.0,0.0,,,up,0.0,a,0,RP,DT,VB,set,1.0,1,up,0.0
30,0.0,0.0,,,a,0.0,computer,0,DT,NN,RP,up,1.0,5,a,0.0
31,0.0,1.0,,NN,computer,0.0,to,0,NN,TO,DT,a,0.0,1,computer,1.0
32,0.0,0.0,,,to,0.0,a,0,TO,DT,NN,computer,1.0,4,to,0.0
33,0.0,0.0,,,a,0.0,projector,0,DT,NN,TO,to,1.0,5,a,0.0
34,0.0,1.0,,NN,projector,0.0,etc,0,NN,NN,DT,a,0.0,1,projector,1.0
35,0.0,0.0,,,etc,0.0,,0,NN,,NN,projector,0.0,1,etc,0.0
0,0.0,1.0,,PRP,it,0.0,is,0,PRP,VBZ,,,1.0,1,it,0.0
1,0.0,0.0,,,be,0.0,of,0,VBZ,IN,PRP,it,1.0,6,is,0.0
2,0.0,0.0,,,of,0.0,high,0,IN,JJ,VBZ,is,1.0,2,of,0.0
3,0.0,0.0,,,high,0.0,quality,0,JJ,NN,IN,of,0.0,1,high,1.0
4,0.0,1.0,,NN,quality,0.0,has,0,NN,VBZ,JJ,high,0.0,1,quality,1.0
5,0.0,0.0,,,have,0.0,a,0,VBZ,DT,NN,quality,1.0,1,has,0.0
6,0.0,0.0,,,a,0.0,killer,0,DT,NN,VBZ,has,1.0,1,a,0.0
7,0.0,0.0,,,killer,0.0,GUI,0,NN,NNP,DT,a,0.0,1,killer,1.0
8,0.0,1.0,,NNP,GUI,1.0,is,0,NNP,VBZ,NN,killer,0.0,1,GUI,0.0
9,0.0,0.0,,,be,0.0,extremely,0,VBZ,RB,NNP,GUI,1.0,6,is,0.0
10,0.0,0.0,,,extremely,0.0,stable,0,RB,JJ,VBZ,is,0.0,1,extremely,1.0
11,0.0,0.0,,,stable,0.0,is,0,JJ,VBZ,RB,extremely,0.0,1,stable,1.0
12,0.0,0.0,,,be,0.0,highly,0,VBZ,RB,JJ,stable,1.0,6,is,0.0
13,0.0,0.0,,,highly,0.0,expandable,0,RB,JJ,VBZ,is,0.0,1,highly,1.0
14,0.0,0.0,,,expandable,0.0,is,0,JJ,VBZ,RB,highly,0.0,1,expandable,1.0
15,0.0,0.0,,,be,0.0,bundled,0,VBZ,VBN,JJ,expandable,1.0,6,is,0.0
16,0.0,0.0,,,bundle,0.0,with,0,VBN,IN,VBZ,is,0.0,1,bundled,1.0
17,0.0,0.0,,,with,0.0,lots,0,IN,NNS,VBN,bundled,1.0,1,with,1.0
18,0.0,1.0,,NNS,lot,0.0,of,0,NNS,IN,IN,with,0.0,1,lots,1.0
19,0.0,0.0,,,of,0.0,very,0,IN,RB,NNS,lots,1.0,2,of,0.0
20,0.0,0.0,,,very,0.0,good,0,RB,JJ,IN,of,1.0,1,very,1.0
21,0.0,0.0,,,good,0.0,applications,0,JJ,NNS,RB,very,0.0,1,good,1.0
22,0.0,1.0,,NNS,applications,0.0,is,0,NNS,VBZ,JJ,good,0.0,1,applications,1.0
23,0.0,0.0,,,be,0.0,easy,0,VBZ,JJ,NNS,applications,1.0,6,is,0.0
24,0.0,0.0,,,easy,0.0,to,0,JJ,TO,VBZ,is,0.0,1,easy,1.0
